env_time,total_time,avg_simulation_second,event_store_size
204,0:00:01.842889,0:00:00.009034,218
205,0:00:01.842889,0:00:00.008990,218
206,0:00:01.842889,0:00:00.008946,218
207,0:00:01.842889,0:00:00.008903,218
208,0:00:01.842889,0:00:00.008860,218
209,0:00:01.842889,0:00:00.008818,218
210,0:00:01.842889,0:00:00.008776,218
211,0:00:01.842889,0:00:00.008734,218
212,0:00:01.842889,0:00:00.008693,218
213,0:00:01.842889,0:00:00.008652,218
214,0:00:01.842889,0:00:00.008612,218
215,0:00:01.842889,0:00:00.008572,218
216,0:00:01.842889,0:00:00.008532,218
217,0:00:01.842889,0:00:00.008493,218
218,0:00:01.842889,0:00:00.008454,218
219,0:00:01.843893,0:00:00.008420,224
220,0:00:01.880829,0:00:00.008549,222
221,0:00:01.881893,0:00:00.008515,222
222,0:00:01.881893,0:00:00.008477,222
223,0:00:01.887825,0:00:00.008466,222
224,0:00:01.887825,0:00:00.008428,234
225,0:00:01.967252,0:00:00.008743,229
226,0:00:01.973253,0:00:00.008731,229
227,0:00:01.973253,0:00:00.008693,229
228,0:00:01.985178,0:00:00.008707,229
229,0:00:01.985178,0:00:00.008669,229
230,0:00:01.991250,0:00:00.008658,229
231,0:00:02.006181,0:00:00.008685,229
232,0:00:02.006181,0:00:00.008647,229
233,0:00:02.006181,0:00:00.008610,229
234,0:00:02.006181,0:00:00.008573,229
235,0:00:02.006181,0:00:00.008537,229
236,0:00:02.018695,0:00:00.008554,229
237,0:00:02.018695,0:00:00.008518,229
238,0:00:02.018695,0:00:00.008482,229
239,0:00:02.018695,0:00:00.008446,241
240,0:00:02.110266,0:00:00.008793,233
241,0:00:02.110266,0:00:00.008756,233
242,0:00:02.110266,0:00:00.008720,233
243,0:00:02.115856,0:00:00.008707,233
244,0:00:02.115856,0:00:00.008672,233
245,0:00:02.123789,0:00:00.008669,233
246,0:00:02.130782,0:00:00.008662,233
247,0:00:02.130782,0:00:00.008627,233
248,0:00:02.154657,0:00:00.008688,233
249,0:00:02.154657,0:00:00.008653,245
250,0:00:02.240110,0:00:00.008960,237
251,0:00:02.255111,0:00:00.008985,237
252,0:00:02.255111,0:00:00.008949,237
253,0:00:02.279153,0:00:00.009009,237
254,0:00:02.279153,0:00:00.008973,261
255,0:00:02.573097,0:00:00.010091,251
256,0:00:02.592950,0:00:00.010129,251
257,0:00:02.592950,0:00:00.010089,251
258,0:00:02.620950,0:00:00.010159,251
259,0:00:02.620950,0:00:00.010119,251
