env_time,total_time,avg_simulation_second,event_store_size
251,0:00:00.930746,0:00:00.003708,223
252,0:00:00.930746,0:00:00.003693,223
253,0:00:00.948750,0:00:00.003750,223
254,0:00:00.948750,0:00:00.003735,247
255,0:00:01.080522,0:00:00.004237,234
256,0:00:01.080522,0:00:00.004221,234
257,0:00:01.080522,0:00:00.004204,234
258,0:00:01.089519,0:00:00.004223,234
259,0:00:01.089519,0:00:00.004207,234
260,0:00:01.091519,0:00:00.004198,234
261,0:00:01.113518,0:00:00.004266,234
262,0:00:01.113518,0:00:00.004250,234
263,0:00:01.128518,0:00:00.004291,234
264,0:00:01.128518,0:00:00.004275,234
265,0:00:01.128518,0:00:00.004259,234
266,0:00:01.136025,0:00:00.004271,234
267,0:00:01.136025,0:00:00.004255,234
268,0:00:01.136025,0:00:00.004239,234
269,0:00:01.136025,0:00:00.004223,234
270,0:00:01.136025,0:00:00.004208,234
271,0:00:01.136025,0:00:00.004192,234
272,0:00:01.136025,0:00:00.004177,234
273,0:00:01.136025,0:00:00.004161,234
274,0:00:01.136025,0:00:00.004146,258
275,0:00:01.243394,0:00:00.004521,247
276,0:00:01.243394,0:00:00.004505,247
277,0:00:01.243394,0:00:00.004489,247
278,0:00:01.252399,0:00:00.004505,247
279,0:00:01.252399,0:00:00.004489,247
280,0:00:01.256320,0:00:00.004487,247
281,0:00:01.271324,0:00:00.004524,247
282,0:00:01.271324,0:00:00.004508,247
283,0:00:01.280388,0:00:00.004524,247
284,0:00:01.280388,0:00:00.004508,247
285,0:00:01.280388,0:00:00.004493,247
286,0:00:01.289322,0:00:00.004508,247
287,0:00:01.289322,0:00:00.004492,247
288,0:00:01.289322,0:00:00.004477,247
289,0:00:01.289322,0:00:00.004461,247
290,0:00:01.289322,0:00:00.004446,247
291,0:00:01.289322,0:00:00.004431,247
292,0:00:01.289322,0:00:00.004415,247
293,0:00:01.289322,0:00:00.004400,247
294,0:00:01.289322,0:00:00.004385,253
295,0:00:01.317390,0:00:00.004466,250
296,0:00:01.317390,0:00:00.004451,250
297,0:00:01.317390,0:00:00.004436,250
298,0:00:01.322389,0:00:00.004438,250
299,0:00:01.322389,0:00:00.004423,250
300,0:00:01.326393,0:00:00.004421,250
301,0:00:01.326393,0:00:00.004407,250
302,0:00:01.326393,0:00:00.004392,250
303,0:00:01.326393,0:00:00.004378,250
304,0:00:01.326393,0:00:00.004363,286
305,0:00:01.472384,0:00:00.004827,270
306,0:00:01.475384,0:00:00.004822,270
307,0:00:01.475384,0:00:00.004806,270
308,0:00:01.489384,0:00:00.004836,270
309,0:00:01.489384,0:00:00.004820,270
310,0:00:01.489384,0:00:00.004804,270
311,0:00:01.512452,0:00:00.004863,270
312,0:00:01.512452,0:00:00.004848,270
313,0:00:01.525383,0:00:00.004873,270
314,0:00:01.525383,0:00:00.004858,270
315,0:00:01.525383,0:00:00.004842,270
316,0:00:01.541383,0:00:00.004878,270
317,0:00:01.541383,0:00:00.004862,270
318,0:00:01.541383,0:00:00.004847,270
319,0:00:01.541383,0:00:00.004832,282
320,0:00:01.599448,0:00:00.004998,277
321,0:00:01.599448,0:00:00.004983,283
322,0:00:01.623389,0:00:00.005042,279
323,0:00:01.635384,0:00:00.005063,288
324,0:00:01.669380,0:00:00.005152,284
325,0:00:01.677455,0:00:00.005161,284
326,0:00:01.677455,0:00:00.005146,284
327,0:00:01.681675,0:00:00.005143,284
328,0:00:01.695090,0:00:00.005168,320
329,0:00:01.832301,0:00:00.005569,298
330,0:00:01.834301,0:00:00.005558,298
331,0:00:01.834301,0:00:00.005542,298
332,0:00:01.857672,0:00:00.005595,298
333,0:00:01.862008,0:00:00.005592,328
334,0:00:01.934723,0:00:00.005793,315
335,0:00:01.946372,0:00:00.005810,315
336,0:00:01.946372,0:00:00.005793,315
337,0:00:01.957762,0:00:00.005809,315
338,0:00:01.967705,0:00:00.005822,345
339,0:00:02.047641,0:00:00.006040,327
340,0:00:02.050641,0:00:00.006031,334
341,0:00:02.054641,0:00:00.006025,330
342,0:00:02.075706,0:00:00.006069,365
343,0:00:02.133709,0:00:00.006221,353
344,0:00:02.133709,0:00:00.006203,377
345,0:00:02.138710,0:00:00.006199,369
346,0:00:02.138710,0:00:00.006181,367
347,0:00:02.139709,0:00:00.006166,365
348,0:00:02.141711,0:00:00.006154,359
349,0:00:02.142709,0:00:00.006140,375
350,0:00:02.147711,0:00:00.006136,369
351,0:00:02.147711,0:00:00.006119,379
352,0:00:02.149711,0:00:00.006107,374
353,0:00:02.151641,0:00:00.006095,374
354,0:00:02.157711,0:00:00.006095,424
355,0:00:02.202140,0:00:00.006203,408
356,0:00:02.202660,0:00:00.006187,419
357,0:00:02.205693,0:00:00.006178,417
358,0:00:02.207343,0:00:00.006166,428
359,0:00:02.209030,0:00:00.006153,426
360,0:00:02.211032,0:00:00.006142,418
361,0:00:02.217032,0:00:00.006141,412
362,0:00:02.224029,0:00:00.006144,412
363,0:00:02.239033,0:00:00.006168,412
364,0:00:02.265031,0:00:00.006223,412
365,0:00:02.265031,0:00:00.006206,412
366,0:00:02.292034,0:00:00.006262,412
367,0:00:02.292034,0:00:00.006245,412
368,0:00:02.304028,0:00:00.006261,412
369,0:00:02.304028,0:00:00.006244,412
370,0:00:02.311032,0:00:00.006246,412
371,0:00:02.311032,0:00:00.006229,412
372,0:00:02.330031,0:00:00.006264,412
373,0:00:02.345055,0:00:00.006287,412
374,0:00:02.345055,0:00:00.006270,412
375,0:00:02.345055,0:00:00.006253,412
376,0:00:02.345055,0:00:00.006237,412
377,0:00:02.345055,0:00:00.006220,412
378,0:00:02.345055,0:00:00.006204,424
379,0:00:02.445911,0:00:00.006454,420
380,0:00:02.445911,0:00:00.006437,420
381,0:00:02.445911,0:00:00.006420,420
382,0:00:02.445911,0:00:00.006403,420
383,0:00:02.445911,0:00:00.006386,420
384,0:00:02.452976,0:00:00.006388,420
